x,doi
http://vivo.ufl.edu/individual/n892557578,10.1021/es501547b
http://vivo.ufl.edu/individual/n3001117829,10.1017/S0030605312000890
http://vivo.ufl.edu/individual/n6728498139,10.1614/WT-D-14-00027.1
http://vivo.ufl.edu/individual/n893953808,10.1016/j.physbeh.2003.11.004
http://vivo.ufl.edu/individual/n5510822488,10.1111/ele.12164
http://vivo.ufl.edu/individual/n4454448840,10.1111/j.1524-4733.2010.00723.x
http://vivo.ufl.edu/individual/n7514442767,10.1016/j.jcmg.2011.12.025
http://vivo.ufl.edu/individual/n6431762063,10.1061/(ASCE)WW.1943-5460.0000083
http://vivo.ufl.edu/individual/n8733748806,10.1097/HMR.0b013e31825729ab
http://vivo.ufl.edu/individual/n3232282132,10.1002/mabi.201500171
http://vivo.ufl.edu/individual/n4016809038,10.1016/j.meatsci.2010.02.004
http://vivo.ufl.edu/individual/n3539208028,10.1016/j.apsusc.2008.08.096
http://vivo.ufl.edu/individual/n1124537271,10.1016/j.jadohealth.2013.06.020
http://vivo.ufl.edu/individual/n8425425507,10.1653/0015-4040(2008)91{[}485:AOTRAB]2.0.CO;2
http://vivo.ufl.edu/individual/n895468882,10.3732/ajb.1500298
http://vivo.ufl.edu/individual/n4497171814,10.1214/11-AOAS516
http://vivo.ufl.edu/individual/n4776698546,10.1016/j.gloenvcha.2009.07.005
http://vivo.ufl.edu/individual/n6913211485,10.1007/s10461-012-0270-6
http://vivo.ufl.edu/individual/n1846012600,10.1002/art.23214
http://vivo.ufl.edu/individual/n1108413235,10.1002/art.23214
http://vivo.ufl.edu/individual/n1444548438,10.2308/ajpt-10346
http://vivo.ufl.edu/individual/n9744042059,10.1109/TGRS.2008.915747
http://vivo.ufl.edu/individual/n1513035364,10.3109/15569527.2011.594697
http://vivo.ufl.edu/individual/n1262601357,10.1529/biophysj.106.082362
http://vivo.ufl.edu/individual/n6131821491,10.1016/j.wneu.2013.01.075
http://vivo.ufl.edu/individual/n8387806377,10.1002/jcp.21312
http://vivo.ufl.edu/individual/n3032087818,10.1016/j.jhevol.2009.05.001
http://vivo.ufl.edu/individual/n4507066318,10.1016/j.intermet.2010.03.010
http://vivo.ufl.edu/individual/n6185345197,10.1111/j.1439-0396.2012.01298.x
http://vivo.ufl.edu/individual/n5450781801,10.1016/j.amepre.2010.02.019
http://vivo.ufl.edu/individual/n1412065985,10.1016/j.amepre.2010.02.019
http://vivo.ufl.edu/individual/n303440134,10.1094/MPMI.2002.15.4.380
http://vivo.ufl.edu/individual/n6269617609,10.3732/ajb.1000461
http://vivo.ufl.edu/individual/n9402178013,10.1080/10643380802278943
http://vivo.ufl.edu/individual/n6747405124,10.1016/j.jemermed.2008.04.010
http://vivo.ufl.edu/individual/n4804926239,10.1111/j.1600-0501.2011.02270.x
http://vivo.ufl.edu/individual/n2338455667,10.1093/beheco/arn075
http://vivo.ufl.edu/individual/n2603306348,10.1177/0011000014566992
http://vivo.ufl.edu/individual/n4695592780,10.1038/jp.2009.14
http://vivo.ufl.edu/individual/n1657048787,10.1038/jp.2009.14
http://vivo.ufl.edu/individual/n3812345942,10.1001/archinternmed.2012.2261
http://vivo.ufl.edu/individual/n3724573217,10.1371/journal.pone.0059093
http://vivo.ufl.edu/individual/n1056542273,10.1016/j.ijimpeng.2014.07.003
http://vivo.ufl.edu/individual/n3396057007,10.1016/j.jcrs.2008.08.041
http://vivo.ufl.edu/individual/n2423233697,10.2337/db14-1693
http://vivo.ufl.edu/individual/n4464725019,10.1029/2010JC006292
http://vivo.ufl.edu/individual/n4027869620,10.1016/j.ijrobp.2008.08.019
http://vivo.ufl.edu/individual/n2221843251,10.1227/01.NEU.0000351774.81674.32
http://vivo.ufl.edu/individual/n2911377120,10.1016/j.cyto.2012.08.003
http://vivo.ufl.edu/individual/n9836716047,10.1016/j.plantsci.2008.06.014
http://vivo.ufl.edu/individual/n2290011851,10.1016/j.ijms.2012.10.001
http://vivo.ufl.edu/individual/n7948093262,10.1074/jbc.M808643200
http://vivo.ufl.edu/individual/n4848060910,10.1007/s10851-012-0329-z
http://vivo.ufl.edu/individual/n6327901870,10.1103/PhysRevB.77.180514
http://vivo.ufl.edu/individual/n3622650322,10.1016/j.jpeds.2013.07.026
http://vivo.ufl.edu/individual/n9459634668,10.1088/0004-637X/797/2/109
http://vivo.ufl.edu/individual/n4290798426,10.1161/HYPERTENSIONAHA.107.109561
http://vivo.ufl.edu/individual/n516325524,10.1103/PhysRevA.88.032710
http://vivo.ufl.edu/individual/n1368957883,10.1103/PhysRevB.88.075115
http://vivo.ufl.edu/individual/n1930386541,10.1371/journal.pone.114069
http://vivo.ufl.edu/individual/n4579894304,10.1373/clinchem.2010.148205
http://vivo.ufl.edu/individual/n1086855249,10.1093/jnci/djv123
http://vivo.ufl.edu/individual/n1003842936,10.1016/j.amjcard.2005.07.136
http://vivo.ufl.edu/individual/n233647639,10.1037/xlm0000144
http://vivo.ufl.edu/individual/n7405693769,10.1038/ejhg.2014.223
http://vivo.ufl.edu/individual/n4803935445,10.1088/0004-637X/725/2/1536
http://vivo.ufl.edu/individual/n1553985870,10.1074/jbc.M800564200
http://vivo.ufl.edu/individual/n9898896544,10.1007/s11103-011-9802-0
http://vivo.ufl.edu/individual/n1734011026,10.1111/j.1463-5224.2007.00489.x
http://vivo.ufl.edu/individual/n4886068848,10.1039/c5ra17490b
http://vivo.ufl.edu/individual/n2969585440,10.1641/B580211
http://vivo.ufl.edu/individual/n1601080147,10.1021/jp068335b
http://vivo.ufl.edu/individual/n4771305492,10.1189/jlb.0809570
http://vivo.ufl.edu/individual/n7777890297,10.1007/s12160-014-9679-7
http://vivo.ufl.edu/individual/n9305308791,10.1111/2041-210X.12447
http://vivo.ufl.edu/individual/n3182653611,10.1128/JB.06767-11
http://vivo.ufl.edu/individual/n1096605786,10.3171/2010.4.FOCUS10104
http://vivo.ufl.edu/individual/n960698197,10.1007/s10741-008-9094-x
http://vivo.ufl.edu/individual/n2201616541,10.1016/j.bcp.2008.12.017
http://vivo.ufl.edu/individual/n5795446654,10.1016/j.jevs.2009.07.010
http://vivo.ufl.edu/individual/n3523129488,10.1063/1.3171933
http://vivo.ufl.edu/individual/n4664808684,10.1016/j.apgeog.2012.11.021
http://vivo.ufl.edu/individual/n8973267038,10.1177/0959683611400458
http://vivo.ufl.edu/individual/n8253326668,10.1182/blood-2012-05-433045
http://vivo.ufl.edu/individual/n5111412810,10.1109/TPEL.2011.2160652
http://vivo.ufl.edu/individual/n1854688592,10.1177/0194599814564934
http://vivo.ufl.edu/individual/n1606308260,10.1016/j.humov.2010.10.009
http://vivo.ufl.edu/individual/n8244735183,10.1128/JVI.00963-09
http://vivo.ufl.edu/individual/n5987514029,10.1088/0953-8984/23/22/222201
http://vivo.ufl.edu/individual/n1663214774,10.1097/SAP.0000000000000183
http://vivo.ufl.edu/individual/n4563504609,10.1016/j.molcel.2008.07.015
http://vivo.ufl.edu/individual/n416380165,10.1002/ejp.640
http://vivo.ufl.edu/individual/n838116546,10.1116/1.3647879
http://vivo.ufl.edu/individual/n4460105294,10.1021/np8005056
http://vivo.ufl.edu/individual/n7685530282,10.1007/s00018-009-0235-8
http://vivo.ufl.edu/individual/n4146312802,10.1145/1870085.1870092
http://vivo.ufl.edu/individual/n931974238,10.1016/j.thromres.2004.07.007
http://vivo.ufl.edu/individual/n8135608454,10.1063/1.3006059
http://vivo.ufl.edu/individual/n3201722135,10.1029/2011JD017196
http://vivo.ufl.edu/individual/n2186601620,10.1177/0094582X08329042
http://vivo.ufl.edu/individual/n1993157959,10.1037/a0017594
http://vivo.ufl.edu/individual/n9744555675,10.1037/a0017594
http://vivo.ufl.edu/individual/n4870938759,10.1016/j.jspi.2007.08.004
http://vivo.ufl.edu/individual/n4327651164,10.1061/(ASCE)CO.1943-7862.0000564
http://vivo.ufl.edu/individual/n7892580131,10.1016/j.pbb.2009.03.006
http://vivo.ufl.edu/individual/n9292479265,10.1016/j.actbio.2012.08.004
http://vivo.ufl.edu/individual/n7304521343,10.1007/s11060-015-1932-9
http://vivo.ufl.edu/individual/n5199954432,10.1684/ejd.2008.0591
http://vivo.ufl.edu/individual/n516645417,10.1016/j.neuroimage.2004.12.015
http://vivo.ufl.edu/individual/n305244,10.1097/NEN.0b013e3181aaf4fd
http://vivo.ufl.edu/individual/n1040360119,10.1021/jp9062466
http://vivo.ufl.edu/individual/n2276634746,10.1002/jcla.21736
http://vivo.ufl.edu/individual/n457982110,10.1177/0009922808323907
